Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Kilograms,Steps,Note
2013-06-20,Elliptical Trainer,Cardio,1013.0,60,,,,,
2013-06-24,Elliptical Trainer,Cardio,519.0,30,,,,,
2013-06-26,Elliptical Trainer,Cardio,974.0,60,,,,,
2013-06-28,"Running (jogging), 5 mph (12 min mile)",Cardio,146.0,10,,,,,
2013-06-28,"Strength training (weight lifting, weight training)",Cardio,493.0,90,,,,,
2013-06-29,"Strength training (weight lifting, weight training)",Cardio,329.0,60,,,,,
2013-06-30,"Strength training (weight lifting, weight training)",Cardio,329.0,60,,,,,
2013-07-01,Elliptical Trainer,Cardio,991.0,60,,,,,
2013-07-02,Elliptical Trainer,Cardio,500.0,30,,,,,
2013-07-03,Elliptical Trainer,Cardio,556.0,32,,,,,
2013-07-21,"Strength training (weight lifting, weight training)",Cardio,334.0,60,,,,,
2013-07-22,"Running (jogging), 7.5 mph (8 min mile)",Cardio,305.0,20,,,,,
2013-07-23,"Running (jogging), 7.5 mph (8 min mile)",Cardio,297.0,20,,,,,
2013-07-26,"Strength training (weight lifting, weight training)",Cardio,500.0,60,,,,,
2013-07-28,"Running (jogging), 5 mph (12 min mile)",Cardio,148.0,10,,,,,
2013-07-28,"Strength training (weight lifting, weight training)",Cardio,500.0,60,,,,,
2013-07-29,"Strength training (weight lifting, weight training)",Cardio,167.0,30,,,,,
2013-07-30,"Strength training (weight lifting, weight training)",Cardio,334.0,60,,,,,
2013-08-02,"Strength training (weight lifting, weight training)",Cardio,334.0,60,,,,,
2013-08-04,"Strength training (weight lifting, weight training)",Cardio,167.0,30,,,,,
2013-08-06,"Strength training (weight lifting, weight training)",Cardio,251.0,45,,,,,
2013-08-14,"Strength training (weight lifting, weight training)",Cardio,334.0,60,,,,,
2013-08-16,"Walking, 2.5 mph, leisurely pace",Cardio,167.0,30,,,,,
2013-08-17,"Running (jogging), 5 mph (12 min mile)",Cardio,148.0,10,,,,,
2013-08-17,"Strength training (weight lifting, weight training)",Cardio,334.0,60,,,,,
2013-08-19,Elliptical Trainer,Cardio,284.0,20,,,,,