Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2013-06-21,10am,124.0,7.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,18.7,0.0,0.0,1.3,0.0,0.0,0.0,0.0,
2013-06-21,12pm,835.0,38.4,18.3,5.3,12.9,0.0,0.0,1000.0,0.0,79.9,7.3,9.7,38.2,0.0,0.0,0.0,0.0,
2013-06-22,8am,717.0,45.7,22.1,0.0,0.0,0.0,5.0,393.8,0.0,87.8,3.8,84.1,16.4,0.0,0.0,56.0,2.0,
2013-06-22,10am,2002.0,57.2,17.0,0.0,0.0,0.0,0.0,1470.0,0.0,326.6,11.8,215.3,43.8,0.0,0.0,0.0,0.0,
2013-06-24,8am,345.0,21.6,8.7,3.3,9.0,0.0,0.0,420.0,0.0,27.0,2.7,1.5,9.3,0.0,0.0,0.0,0.0,
2013-06-24,10am,872.0,41.0,18.2,0.0,0.0,0.0,0.0,5400.0,0.0,76.0,6.4,0.0,48.0,0.0,0.0,0.0,0.0,
2013-06-24,12pm,308.0,6.5,1.7,0.0,0.0,0.0,0.0,600.0,0.0,33.7,1.6,2.3,13.1,0.0,0.0,0.0,0.0,
2013-06-24,2pm,218.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.9,0.0,0.0,0.0,0.0,
2013-06-25,8am,771.0,29.7,8.6,4.2,9.5,0.0,0.0,510.0,0.0,94.2,5.9,60.0,26.7,0.0,0.0,0.0,0.0,
2013-06-25,10am,1252.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.5,0.0,0.0,45.5,0.0,0.0,0.0,0.0,
2013-06-25,12pm,1702.0,68.0,29.4,15.2,36.8,0.0,0.0,2200.0,0.0,116.8,11.0,31.6,100.4,0.0,0.0,0.0,0.0,
2013-06-26,8am,390.0,26.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,29.5,4.6,3.1,7.5,0.0,0.0,0.0,0.0,
2013-06-26,10am,872.0,41.0,18.2,0.0,0.0,0.0,0.0,5400.0,0.0,76.0,6.4,0.0,48.0,0.0,0.0,0.0,0.0,
2013-06-26,12pm,500.0,13.3,7.4,1.2,4.3,0.0,0.0,601.8,0.0,16.1,4.6,13.8,54.1,0.0,0.0,24.0,0.0,
2013-06-26,2pm,540.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,
2013-06-27,8am,608.5,38.3,9.4,0.0,0.0,0.0,0.0,400.0,0.0,39.6,0.0,6.6,23.8,0.0,0.0,0.0,0.0,
2013-06-27,10am,437.0,20.5,9.1,0.0,0.0,0.0,0.0,2700.0,0.0,38.0,3.2,0.0,24.0,0.0,0.0,0.0,0.0,
2013-06-27,12pm,2215.0,89.2,40.3,1.8,9.9,0.0,0.0,2911.0,0.0,229.2,14.9,57.0,103.2,0.0,0.0,0.0,0.0,
2013-06-28,8am,410.0,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,12.0,0.0,0.0,0.0,0.0,
2013-06-28,10am,436.0,20.5,9.1,0.0,0.0,0.0,0.0,2700.0,0.0,38.0,3.2,0.0,24.0,0.0,0.0,0.0,0.0,
2013-06-28,12pm,1695.0,43.1,5.6,11.6,23.9,0.0,0.0,1800.0,0.0,239.7,24.1,24.3,72.7,0.0,0.0,0.0,0.0,
2013-06-28,2pm,1900.0,52.3,26.5,0.0,0.0,0.0,0.0,705.0,0.0,242.3,5.2,161.7,52.7,0.0,0.0,160.0,0.0,
2013-06-29,8am,140.0,2.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,22.1,0.0,0.0,0.0,0.0,
2013-06-29,10am,620.0,25.3,4.1,0.0,0.0,0.0,0.0,200.6,0.0,53.7,5.6,5.8,28.0,0.0,0.0,0.0,8.0,
2013-06-29,12pm,390.0,8.1,1.5,2.8,2.6,0.0,5.0,320.0,0.0,2.0,2.0,0.0,76.8,0.0,0.0,0.0,0.0,
2013-06-29,2pm,1904.4,71.0,28.9,0.0,0.0,0.0,0.0,591.2,0.0,190.0,5.3,86.5,49.2,0.0,0.0,21.0,0.0,
2013-06-30,8am,710.0,32.0,7.4,0.0,0.0,0.0,0.0,141.2,0.0,78.2,5.4,17.8,26.8,0.0,0.0,0.0,4.0,
2013-06-30,12pm,1568.1,93.0,35.4,5.4,17.7,0.3,120.9,1330.5,423.3,114.4,0.0,106.0,78.9,2.4,1.8,1.8,10.8,
2013-06-30,2pm,900.4,9.8,4.1,0.0,0.0,0.0,0.0,487.0,0.0,147.5,0.8,74.7,51.5,0.0,833.0,31.0,0.0,
2013-07-01,8am,412.0,13.6,2.7,4.5,6.2,0.0,0.0,1.5,483.0,61.2,11.5,19.2,15.7,2.0,20.0,1.0,2.0,
2013-07-01,10am,1145.2,44.4,5.7,2.3,3.7,0.0,255.0,412.1,768.0,65.9,1.1,26.3,111.5,1.2,0.0,25.5,17.3,